Beras Bengawan (Kg),Beras Mentik (Kg),Beras Ir 64 (Kg),Gula Pasir Dalam Negri (Kg),Bimoli Botol / Kemasan (Sps) (620 Ml),Bimoli Botol/Kemasan (Sps) (2 Liter),Tanpa Merk / Minyak Curah (Kg),Daging Sapi Murni (Kg),Daging Ayam Broiler (Kg),Daging Ayam Kampung (Kg),Telur Ayam Ras / Petelur (Kg),Telur Ayam Kampung (Kg),Susu Kental Manis Merk Bendera (397 Gr/Kl),Susu Kental Manis Merk Indomilk (390 Gr/Kl),Susu Bubuk Merk Bendera (Instant) (400 Gr/Dos),Susu Bubuk Merk Indomilk (Instant) (400 Gr/Dos),Jagung Pipilan Kering (Kg),Garam Bata (Buah),Garam Halus (Kg),Tepung Segitiga Biru (Kw Medium) (Kg),Kacang Kedelai Eks Impor (Kg),Kacang Kedelai Lokal (Kg),Indomie Rasa Kari Ayam (Bungkus),Cabe Keriting (Kg),Cabe Biasa (Kg),Cabe Rawit (Kg),Bawang Merah (Kg),Bawang Putih (Kg),Ikan Asin Teri (Kg),Kacang Hijau (Kg),Kacang Tanah (Kg),Ketela Pohon (Kg),Kol/Kubis (Kg),Kentang (Kg),Tomat (Kg),Wortel (Kg),Buncis (Kg),Semen Gresik (40 Kg),Semen Tiga Roda (40 Kg),Semen Holcim (40 Kg),Semen Padang (40 Kg),Semen Tonasa (40 Kg),Semen Bosowa (40 Kg),Ikan Bandeng (Kg),Ikan Kembung (Kg),Ikan Tuna (Kg),Ikan Tongkol (Kg),Ikan Cakalang (Kg),Kayu Balok Meranti (4 X 10) (Btg),Papan Meranti (4M X 3Cm X 20Mm) (Lembar),Triplek (6Mm) (Lembar),Besi Beton 6 Mm (12/9M) (Btg),Besi Beton 8 Mm (12/9M) (Btg),Besi Beton 10 Mm (12/9M) (Btg),Besi Beton 12 Mm (12/9M) (Btg),Paku Ukuran 10Cm (Kg),Paku Ukuran 2 Cm (Kg),Paku Ukuran 3Cm (Kg),Paku Ukuran 4Cm (Kg),Paku Ukuran 5Cm (Kg),Paku Ukuran 7Cm (Kg),Gas Elpigi 3 Kg (Kg),Pupuk Kcl Non Subsidi (Kg),Pupuk Npk Non Subsidi (Kg),Pupuk Sp 35 Non Subsidi (Kg),Pupuk Urea Non Subsidi (Kg),Pupuk Za Non Subsidi (Kg)
10407,10299,8863,12637,11677,25445,11623,105444,29565,55500,20003,36356,9864,9705,37128,35343,5558,661,3730,8011,8514,8291,2208,36506,29773,71299,31832,33382,59930,17531,22995,3416,10798,12363,5949,9226,9907,50861,48797,47689,47619,47360,49233,25889,26448,33073,25745,27397,91137,99515,74409,21894,33235,50778,68955,13105,14473,14066,13578,13231,13038,17503,5753,6869,3716,3423,3108
10409,10315,8874,12667,11631,25464,11644,105287,29514,55477,19926,36378,9850,9718,36812,35030,5637,654,3742,8009,8496,8240,2184,36557,30051,73162,31875,33462,60014,17512,22968,3412,11096,12586,5886,9423,9774,50928,48777,48234,47500,47346,48965,25611,26545,32940,25985,27545,90811,99420,74670,21934,33335,50903,68980,13220,14523,14133,13648,13351,13175,17503,5394,6846,3707,3454,3100
10371,10281,8910,12609,11729,25471,11639,105372,29323,55885,19700,36553,9830,9722,36830,35074,5597,659,3798,7935,8511,8288,2212,37325,30070,73325,31942,33530,60336,17429,22889,3419,11571,12416,5899,9701,9555,50954,48750,48154,47476,47240,49223,25867,26876,33143,25976,27489,90878,99652,74423,21928,33168,50942,69231,13105,14576,13985,13577,13309,13064,17443,5581,6657,3488,3312,2943
10421,10322,8921,12621,11711,25479,11644,105301,29288,55522,19447,35632,9842,9711,36818,35090,5583,669,3719,7941,8528,8231,2214,39026,29787,79393,31732,33471,59965,17257,22885,3378,11465,12553,5958,10116,9388,51000,48811,48207,47619,47174,49489,25938,26614,32886,25877,27505,91392,99565,73774,21909,33125,50736,69115,13219,14619,14042,13649,13413,13188,17438,5559,6647,3546,3336,2990
10314,10244,8896,12610,11773,25433,11623,105486,29091,54845,19284,36080,9856,9650,37219,35271,5640,688,3832,7972,8595,8415,2217,39405,30495,84747,31891,33523,60400,17300,22818,3371,11672,12350,5920,10332,9459,51094,48974,48214,47476,47240,49138,25824,26616,33000,25748,27500,90986,99385,74708,21827,33025,50569,68842,13162,14593,14048,13594,13352,13125,17462,5516,6555,3395,3297,2863
10305,10264,8924,12592,11878,25357,11627,105343,29366,54787,19192,36224,9869,9738,37168,35176,5594,663,3690,7956,8521,8279,2215,41151,30306,86588,32199,33479,59889,17167,22718,3389,11495,12460,5849,10178,9417,50990,48952,48244,47761,47444,49102,25658,26477,32627,25676,27225,90906,98349,74778,21873,33061,50692,69242,13203,14582,14111,13542,13272,13043,17471,5499,6521,3426,3313,2869
10351,10281,8877,12616,11813,25464,11626,104675,29544,54422,19147,36663,9930,9756,37239,35182,5636,660,3777,8043,8498,8294,2208,41482,29732,88701,32009,33470,59265,17436,22779,3407,11693,12415,5884,10473,9718,50745,48707,48195,47762,47560,49105,25782,26305,32888,25637,27671,90873,96895,75569,21818,33117,50827,69032,13037,14423,14019,13477,13176,13027,17500,5501,6792,3460,3422,3001
10343,10268,8895,12593,11769,25494,11614,105519,29481,54566,19080,36807,9922,9766,37281,35274,5647,667,3789,8008,8512,8312,2218,41603,30058,90189,31957,33508,59599,17344,22863,3401,11582,12419,5931,10396,9695,50814,48775,48137,47500,47269,49114,25770,26482,32827,25884,27878,90286,98708,74851,21871,33077,50670,68938,12990,14418,13995,13497,13179,12977,17485,5477,6781,3414,3386,2949
10335,10261,8928,12657,11878,25436,11627,105532,29614,54917,18814,35818,9889,9711,37275,35329,5632,709,3736,7948,8507,8244,2228,42807,30240,88820,31752,33482,59817,17220,22596,3365,11087,12192,5735,10277,9352,50851,48805,48181,47750,47423,49000,26059,26570,32524,25951,27500,91193,98383,75170,21930,33015,50635,68655,13181,14588,14072,13599,13371,13164,17447,5544,6563,3373,3341,2870
10344,10256,8956,12648,11886,25451,11662,105432,29757,54876,18568,35988,9882,9723,37176,35190,5535,650,3744,7961,8512,8343,2576,42862,29671,88763,31627,33305,59500,17161,22705,3345,10720,12179,5565,10090,9209,50713,48668,48038,47068,47400,49021,25794,26631,32678,26158,27442,90969,98087,75270,21777,32995,50703,68683,13204,14617,14052,13603,13402,13123,17462,5440,6583,4632,3303,2821
10313,10257,8936,12639,11883,25502,11650,105369,29820,54964,18586,36059,9875,9728,37175,35229,5533,660,3786,7970,8509,8339,2227,43243,29916,89265,31180,32869,59703,17302,22667,3371,10477,12236,5477,10113,9214,50715,48603,48005,47114,47462,49063,25796,26612,32694,26097,27750,91107,98023,75446,21750,33015,50696,67970,13183,14596,14038,13583,13384,13137,17458,5528,6583,3372,3344,2883
10357,10269,8938,12690,11865,25506,11654,104262,29917,55167,18440,36243,9899,9706,37193,35135,6192,696,3893,7889,8552,8238,2260,44404,29343,88467,31047,33154,59201,17087,22417,3344,10234,12237,5563,10239,9193,50696,48505,48021,47188,47536,49050,25642,26528,32539,25846,27255,90028,95494,75359,21783,32952,50599,68004,13137,14630,14101,13625,13344,13099,17468,5543,6533,3431,3381,2933
10362,10257,8947,12679,11873,25484,11687,105043,30070,54674,18380,36048,9890,9722,37242,35324,5521,690,3900,7880,9258,8233,2215,44268,29322,87132,30613,32984,59627,16995,22490,3350,9932,12219,5401,10121,9217,50669,48470,48021,47146,47464,48970,25662,26385,32391,25895,27342,90007,98585,75216,21761,32971,50624,68699,13138,14627,14088,13635,13338,13086,17458,5541,6523,3411,3381,2950
10351,10303,8919,12696,11734,25528,11699,105231,30065,54561,18414,36973,9915,9729,37259,34916,5506,699,4150,7960,8589,8294,2203,44069,29286,89948,30809,33013,59560,17106,22673,3384,9644,12356,5444,10081,9465,50857,48647,48067,47900,48333,49881,25878,26518,32365,25621,27419,88493,94598,75959,21851,32903,50227,67990,12944,14362,13907,13498,13127,12889,17485,5519,6799,3473,3722,3451
10453,10315,8908,12697,11787,25674,11686,104991,30118,54757,18394,36916,9932,9739,36866,34954,5536,653,3997,7910,8552,8281,2210,43231,29445,90675,30410,33157,59759,17146,22467,3351,9623,12452,5482,10248,9699,50557,48366,47818,46957,47296,49227,25726,26389,32511,25686,27435,90671,96250,75206,21888,33112,50837,68696,13067,14479,14056,13585,13135,13034,17495,5599,6798,3714,3897,3541
10376,10229,8929,12675,11766,25550,11691,105144,30203,55226,18494,37022,9912,9700,36832,34926,5516,636,3849,7876,8571,8256,2211,41881,29249,89503,30229,32787,59919,17008,22399,3364,9292,12390,5288,10506,9614,50675,48350,47901,47100,47536,48929,25688,26452,32347,25682,27311,90607,94572,75000,21869,33079,50741,68934,13142,14594,14093,13670,13363,13078,17473,5644,6650,3665,3803,3080
10325,10244,8926,12675,11705,25525,11692,105233,30197,55299,18131,37189,9982,9686,37184,35169,5562,649,3888,7905,8587,8244,2213,42902,29642,89691,29686,32711,59651,17110,22481,3387,9102,12478,5138,10167,9746,50578,48587,47797,47479,47714,49031,25698,26372,32220,25504,27179,90141,95750,75101,21718,33023,50907,69087,13138,14574,14042,13846,13379,13098,17517,5635,6633,3648,3836,3083
10350,10258,8916,12655,11684,25564,11676,105216,30097,55218,18089,37161,9956,9718,37049,35075,5587,637,3903,7914,8564,8246,2218,42388,29396,89407,28907,32449,59625,17110,22319,3380,9212,12601,5129,10023,9639,50596,48607,47786,47620,47897,49127,25695,26247,32118,25496,27335,90481,95694,74670,21681,33036,50930,69454,13152,14637,13908,13668,13367,13098,17509,5988,6649,3672,3484,3122
10359,10289,8937,12664,11643,25568,11683,105415,30190,55342,18023,36449,9979,9692,37211,35158,5508,638,3945,7918,8549,8193,2215,43206,30608,90432,29199,32584,59810,17208,22277,3350,9081,12749,4915,10369,9792,50543,48597,47804,47646,47893,49173,25595,26489,32194,25531,27204,89917,95924,74789,21668,33005,50836,69119,13112,14647,14035,13635,13343,13073,17522,5555,6656,3653,3470,3111
10356,10243,8951,12654,11703,25536,11675,105335,30287,55186,17949,36562,9940,9677,37196,35150,5569,706,3947,7925,8565,8106,2556,43882,31476,90597,29083,32572,59321,17246,22158,3435,8871,12686,5000,10326,10436,51030,48113,47840,47563,47893,49000,25754,26326,32185,25348,27046,90064,94944,74752,21727,33118,50998,69225,13131,14631,14015,13578,13290,13007,17513,5572,6655,3626,3466,3089
10363,10238,8914,12665,11651,25582,11631,105206,30385,55061,17961,37435,9990,9642,37209,35154,5632,648,4073,7971,8541,8255,2220,43659,31344,93096,29162,32517,59683,17246,22427,3382,8840,12714,4939,10206,10074,50432,48490,47802,47391,47741,49122,25813,26473,32036,25332,27076,88770,98160,74810,21617,33226,51064,69176,12995,14489,13937,13573,13243,12958,17518,5433,6887,3704,3527,3182
10379,10267,8918,12692,11681,25592,11651,105150,30508,55279,17971,37177,10000,9709,37371,35221,5615,670,4038,7982,8549,8228,2215,43965,31652,93619,29124,32566,59743,17204,22387,3385,8752,12734,4894,10186,10207,50427,48505,47774,47391,47741,49122,25882,26505,32025,25406,27066,89803,95556,74808,21633,33219,51074,69005,13000,14506,13946,13578,13222,12977,17518,5505,6916,3726,3538,3191
10367,10252,8906,12686,11733,25569,11718,105275,30300,55657,17917,36882,9965,9695,37386,35242,5551,644,3966,7905,8583,8191,2221,45746,32253,92072,29229,32874,60022,17077,22315,3377,8436,12744,4886,10248,10114,50465,48587,47861,47563,47893,49020,26071,26721,32035,25371,26753,90481,96514,74739,21595,33100,51002,69150,13152,14632,14015,13601,13291,13048,17518,5535,6766,3677,3499,3119
10396,10268,8931,12702,11789,25605,11754,105254,30321,55726,17907,37064,9969,9710,37281,35155,5541,707,3950,7944,8600,8241,2220,47048,33153,93469,28775,32853,59746,17078,22377,3389,8314,12882,4766,10288,10433,50518,48610,47820,47370,47667,49191,26041,26871,32176,25573,26963,90442,96606,74776,21602,32991,51021,69206,13164,14512,13996,13677,13343,13114,17491,5537,6831,3722,3494,3178
10390,10223,8930,12695,11750,25554,11751,105126,30322,55419,17928,36604,9963,9707,37265,35156,5536,655,3962,7921,8646,8234,2213,47361,34012,94432,28656,32758,59530,17085,22201,3367,8190,12994,4676,10393,10369,50513,48525,47724,47130,47556,48633,25532,26720,32163,25418,26806,90697,96845,74624,21591,33164,50970,69243,13164,14606,14020,13556,13306,13075,17395,5518,6793,3673,3499,3139
10386,10234,8959,12682,11816,25576,11755,105178,30102,55750,17824,36404,9954,9709,37209,35138,5508,656,3958,7954,8617,8230,2221,47350,34298,97320,28455,32970,59496,17198,22292,3366,8164,13017,4435,10415,10221,50518,48417,47672,47438,47786,48694,25856,26447,32220,25541,27000,90921,96655,74838,21555,33046,50947,69139,13153,14602,14011,13538,13257,13007,17522,5595,6858,4060,3521,3135
10396,10254,8897,12689,11802,25681,11802,105301,29913,54880,17873,36755,10804,10528,37192,35246,5572,669,3976,8008,8649,8319,2213,47679,35367,99206,28337,33041,59168,17206,22465,3342,8002,13193,4539,10458,10459,50472,48426,47425,47432,47000,48198,25937,26659,32034,25427,27112,90216,96184,74861,21627,33083,51037,68936,13005,14391,13930,13547,13243,12995,17575,5570,7085,3804,3623,3253
10452,10307,8882,12629,11697,25774,11816,105129,29964,54882,17831,37037,10022,9726,36957,34828,5602,664,4071,8002,8618,8303,2211,47280,34806,98995,28362,33149,59376,17196,22628,3385,8033,13207,4608,10278,10383,50397,48211,47484,47000,46692,47977,25841,26615,31756,25587,27478,89340,95890,74775,21553,33121,50925,68848,13014,14436,13916,13570,13250,12986,17519,5576,7116,3748,3586,3228
10491,10301,8898,12634,11831,25754,11826,105320,29786,54848,17857,36953,10013,9740,37124,35049,5601,666,4035,8004,8643,8296,2208,47601,35259,99906,28439,33174,59218,17290,22645,3373,8011,13232,4661,10102,10348,50338,48156,47332,47227,46885,48093,25900,26703,31956,25600,27429,90560,96300,74937,21490,33034,50695,68573,13010,14393,13936,13574,13258,12986,17500,5581,7114,3790,3597,3241
10405,10233,8920,12643,11853,25679,11839,105393,29649,55397,17807,36829,9967,9736,36928,34817,5526,655,3973,7925,8631,8265,2223,47342,36368,100440,28513,33120,59487,17303,22391,3361,7868,13075,4577,10150,10301,50368,48284,47407,47152,46889,48000,26050,26585,31989,25622,26933,91717,96657,74898,21463,32982,50750,68870,13050,14602,14023,13655,13369,13171,17478,5598,6931,3678,3496,3126
