Beras Bengawan (Kg),10407
Beras Mentik (Kg),10299
Beras Ir 64 (Kg),8863
Gula Pasir Dalam Negri (Kg),12637
Bimoli Botol / Kemasan (Sps) (620 Ml),11677
Bimoli Botol/Kemasan (Sps) (2 Liter),25445
Tanpa Merk / Minyak Curah (Kg),11623
Daging Sapi Murni (Kg),105444
Daging Ayam Broiler (Kg),29565
Daging Ayam Kampung (Kg),55500
Telur Ayam Ras / Petelur (Kg),20003
Telur Ayam Kampung (Kg),36356
Susu Kental Manis Merk Bendera (397 Gr/Kl),9864
Susu Kental Manis Merk Indomilk (390 Gr/Kl),9705
Susu Bubuk Merk Bendera (Instant) (400 Gr/Dos),37128
Susu Bubuk Merk Indomilk (Instant) (400 Gr/Dos),35343
Jagung Pipilan Kering (Kg),5558
Garam Bata (Buah),661
Garam Halus (Kg),3730
Tepung Segitiga Biru (Kw Medium) (Kg),8011
Kacang Kedelai Eks Impor (Kg),8514
Kacang Kedelai Lokal (Kg),8291
Indomie Rasa Kari Ayam (Bungkus),2208
Cabe Keriting (Kg),36506
Cabe Biasa (Kg),29773
Cabe Rawit (Kg),71299
Bawang Merah (Kg),31832
Bawang Putih (Kg),33382
Ikan Asin Teri (Kg),59930
Kacang Hijau (Kg),17531
Kacang Tanah (Kg),22995
Ketela Pohon (Kg),3416
Kol/Kubis (Kg),10798
Kentang (Kg),12363
Tomat (Kg),5949
Wortel (Kg),9226
Buncis (Kg),9907
Semen Gresik (40 Kg),50861
Semen Tiga Roda (40 Kg),48797
Semen Holcim (40 Kg),47689
Semen Padang (40 Kg),47619
Semen Tonasa (40 Kg),47360
Semen Bosowa (40 Kg),49233
Ikan Bandeng (Kg),25889
Ikan Kembung (Kg),26448
Ikan Tuna (Kg),33073
Ikan Tongkol (Kg),25745
Ikan Cakalang (Kg),27397
Kayu Balok Meranti (4 X 10) (Btg),91137
Papan Meranti (4M X 3Cm X 20Mm) (Lembar),99515
Triplek (6Mm) (Lembar),74409
Besi Beton 6 Mm (12/9M) (Btg),21894
Besi Beton 8 Mm (12/9M) (Btg),33235
Besi Beton 10 Mm (12/9M) (Btg),50778
Besi Beton 12 Mm (12/9M) (Btg),68955
Paku Ukuran 10Cm (Kg),13105
Paku Ukuran 2 Cm (Kg),14473
Paku Ukuran 3Cm (Kg),14066
Paku Ukuran 4Cm (Kg),13578
Paku Ukuran 5Cm (Kg),13231
Paku Ukuran 7Cm (Kg),13038
Gas Elpigi 3 Kg (Kg),17503
Pupuk Kcl Non Subsidi (Kg),5753
Pupuk Npk Non Subsidi (Kg),6869
Pupuk Sp 35 Non Subsidi (Kg),3716
Pupuk Urea Non Subsidi (Kg),3423
Pupuk Za Non Subsidi (Kg),3108
